CommunityName 	ZIPCode	SalesofSingleFamilyHomes PriceMedianSFR(1000)	PriceChgfromAugust2012	SalesCountCondos	 PriceMedianCondos(1000)	PriceChgfromAug2012	MedianHomePrice/Sq.Ft
Acton	        93510	6	510	34.2	1	184	n/a	173
AgouraHills	91301	16	893	15.9	24	530	20.9	323
Alhambra	91801	16	578	28.7	19	385	0.5	418
Alhambra	91803	18	460	10.0	2	331	-18.6	353
Altadena	91001	45	630	50.0	1	1300	19.5	444
Arcadia	91006	45	1168	29.9	11	756	31.5	522
Arcadia	91007	29	1250	39.0	13	478	6.2	622
Artesia	90701	7	420	47.6	1	391	n/a	295
Avalon	90704	5	590	37.2	1	390	-16.1	514
Azusa	91702	30	325	18.2	17	255	73.5	247
BaldwinPk	91706	32	295	11.3	8	235	44.0	258
Bell/Cudahy	90201	8	305	30.2	n/a	n/a	n/a	235
Bellflower	90706	33	355	10.9	6	258	43.1	281
BeverlyHills	90210	33	2180	-37.6	3	720	-17.7	712
BeverlyHills	90211	6	1300	20.9	3	599	-24.2	706
BeverlyHills	90212	4	2238	1.4	1	1505	151.4	866
Burbank	91501	8	710	-21.1	8	404	15.9	398
Burbank	91502	n/a	n/a	n/a	7	318	37.1	n/a
Burbank	91504	14	670	9.0	6	345	14.0	383
Burbank	91505	28	548	24.7	5	427	79.6	445
Burbank	91506	20	570	22.6	1	580	93.0	453
Calabasas	91302	18	1187	-22.0	24	1195	44.8	411
CanogaPark	91303	12	425	30.8	6	223	53.8	254
CanogaPark	91304	37	440	14.3	9	155	24.0	293
CanyonCtry	91351	18	363	36.0	21	380	90.0	248
CanyonCtry	91387	39	434	0.9	21	245	44.1	218
Carson	90745	23	338	17.6	15	220	29.4	258
Carson	90746	17	382	22.2	4	213	-19.2	235
Castaic	91384	19	430	19.4	2	363	46.2	207
Cerritos	90703	32	628	18.2	5	290	-12.9	331
Chatsworth	91311	33	470	-0.6	20	320	12.1	245
Claremont	91711	35	574	47.7	7	365	42.6	288
Compton	90220	25	200	0.5	3	159	67.4	182
Compton	90221	24	238	25.0	n/a	n/a	n/a	195
Compton	90222	19	220	46.7	n/a	n/a	n/a	210
Covina	91722	33	345	26.4	4	305	25.8	284
Covina	91723	13	420	30.4	n/a	n/a	n/a	286
Covina	91724	22	469	25.1	11	266	53.7	253
CulverCity	90230	17	785	16.3	26	388	28.7	506
CulverCity	90232	10	850	16.3	1	830	58.2	724
DiamondBr	91765	50	696	40.7	35	320	36.2	316
Downey	90240	28	455	26.3	1	350	101.1	263
Downey	90241	20	463	17.1	4	343	80.5	269
Downey	90242	16	375	21.2	2	224	6.4	271
Duarte	91010	15	415	43.1	4	242	34.4	306
ElMonte	91731	8	350	-1.5	1	290	-27.5	317
ElMonte	91732	14	336	13.9	8	422	75.6	291
ElMonteS	91733	10	348	12.1	5	404	8.2	314
ElSegundo	90245	8	838	15.6	5	620	79.7	553
Encino	91316	24	603	26.9	22	325	26.7	387
Encino	91436	20	1162	40.4	1	535	-0.7	476
Gardena	90247	19	354	17.2	6	277	29.5	280
Gardena	90248	6	345	14.0	n/a	n/a	n/a	220
Gardena	90249	9	397	29.3	1	270	129.8	305
Glendale	91201	17	630	33.9	2	344	34.8	409
Glendale	91202	8	650	2.0	10	318	52.8	378
Glendale	91203	1	325	24.0	4	330	-13.6	467
Glendale	91204	2	550	161.9	1	345	34.0	339
Glendale	91205	8	549	42.5	6	273	11.7	389
Glendale	91206	16	815	28.3	14	338	20.5	363
Glendale	91207	13	900	11.8	6	378	-6.2	377
Glendale	91208	17	740	16.5	4	329	30.0	356
Glendora	91740	17	375	17.2	n/a	n/a	n/a	278
Glendora	91741	38	573	20.6	3	447	-2.8	324
GranadaHls	91344	44	458	27.1	5	354	130.3	263
HaciendaHt	91745	45	451	3.7	13	380	67.0	285
HarborCity	90710	11	474	26.4	10	268	19.2	258
HawaiianGn	90716	8	305	54.0	1	120	3.9	215
Hawthorne	90250	35	440	44.5	2	572	159.8	324
HermosaBh	90254	15	1179	36.8	14	950	5.3	766
HuntngtnPk	90255	15	289	3.2	4	165	46.3	237
Inglewood	90301	2	289	20.9	2	124	12.7	312
Inglewood	90302	7	389	55.6	8	185	115.1	313
Inglewood	90303	4	273	-12.1	1	275	n/a	203
Inglewood	90304	7	220	6.0	1	285	186.4	316
Inglewood	90305	6	325	4.8	1	315	64.9	223
LA	90003	22	218	32.6	1	450	n/a	198
LA	90004	13	791	-6.4	3	387	-11.6	390
LA	90006	4	440	120.0	3	425	14.9	221
LA	90010	n/a	n/a	n/a	3	666	23.3	n/a
LA	90011	14	235	23.7	n/a	n/a	n/a	180
LA	90012	n/a	n/a	n/a	5	320	10.3	n/a
LA	90015	n/a	n/a	n/a	10	530	11.1	n/a
LA	90016	17	358	37.5	9	255	50.4	276
LA	90018	22	275	3.8	n/a	n/a	n/a	238
LA	90019	17	596	7.4	2	483	3.6	424
LA	90020	2	1809	80.9	8	208	-3.5	486
LA	90023	11	240	32.2	n/a	n/a	n/a	299
LA	90027	20	910	-7.6	5	473	-8.9	565
LA	90029	3	373	-34.0	n/a	n/a	n/a	379
LA	90034	16	750	10.5	5	439	8.4	485
LA	90035	11	1225	35.7	8	806	122.4	632
LA	90036	14	925	-8.4	3	317	-15.4	627
LA	90037	16	247	8.6	n/a	n/a	n/a	167
LA	90039	19	645	28.1	2	459	-36.8	567
LA	90047	48	269	12.1	n/a	n/a	n/a	209
LA	90057	n/a	n/a	n/a	7	238	90.0	n/a
LA	90062	18	275	25.3	n/a	n/a	n/a	191
LA	90063	20	276	31.4	n/a	n/a	n/a	219
LaCanadaF	91011	28	1194	0.7	n/a	n/a	n/a	520
LaCrescnta	91214	32	643	22.5	5	211	-39.1	425
LaMirada	90638	28	425	21.4	8	415	58.0	301
LaPuente	91744	32	334	29.0	2	270	14.4	250
LaPuente	91746	16	325	20.2	3	430	38.7	242
LaVerne	91750	32	460	0.7	7	435	192.9	276
LA/AugFHw	90044	31	210	13.2	n/a	n/a	n/a	193
LA/AugFHw	90059	21	200	32.0	n/a	n/a	n/a	159
LA/AugFHw	90061	9	250	41.6	n/a	n/a	n/a	203
LA/BldwnH	90008	12	515	45.1	2	273	141.6	293
LA/Bel-Air	90077	6	1417	-18.4	3	1326	n/a	588
LA/BoyleHt	90033	6	191	-7.0	n/a	n/a	n/a	176
LA/Brentwd	90049	26	2500	7.5	26	802	13.8	818
LA/CentryC	90067	n/a	n/a	n/a	5	920	21.5	n/a
LA/CyofCom	90040	3	282	0.7	n/a	n/a	n/a	287
LA/Dockwlr	90007	5	293	0.5	n/a	n/a	n/a	249
LA/EagleRk	90041	24	565	18.9	n/a	n/a	n/a	481
LA/EastLA	90022	9	339	53.7	n/a	n/a	n/a	235
LA/EchoPk	90026	19	713	56.1	3	515	43.1	432
LA/ElSereno	90032	38	340	37.4	2	277	62.0	294
LA/FirstnPk	90001	9	236	89.2	n/a	n/a	n/a	203
LA/Glassell	90065	40	533	36.7	n/a	n/a	n/a	437
LA/HighldP	90042	36	465	12.0	17	315	46.9	402
LA/Hollywd	90028	2	789	93.9	6	576	9.8	398
LA/Hollywd	90068	39	940	2.7	7	390	36.8	529
LA/LaderaH	90056	7	782	23.7	n/a	n/a	n/a	282
LA/LinclnH	90031	8	385	75.0	2	261	81.3	424
LA/MarVsta	90066	39	901	22.5	10	487	20.2	628
LA/RnchoP	90064	26	1185	0.9	11	642	16.7	686
LA/Sanford	90005	5	803	-20.7	11	457	51.1	351
LA/VPk/WH	90043	34	325	3.5	n/a	n/a	n/a	251
LA/Watts	90002	27	210	40.0	n/a	n/a	n/a	183
LA/WestLA	90025	9	888	0.9	37	655	6.1	773
LA/Westchtr	90045	46	792	17.7	3	389	69.1	502
LA/Westwd	90024	7	1640	3.8	31	604	-13.7	776
LakeHughes	93532	7	238	73.7	n/a	n/a	n/a	134
Lakewood	90712	38	415	12.2	2	583	11.0	329
Lakewood	90713	38	445	20.3	n/a	n/a	n/a	358
Lakewood	90715	9	339	4.3	3	300	16.1	308
Lancaster	93534	61	130	41.3	1	83	-8.3	94
Lancaster	93535	97	143	34.9	5	95	88.1	92
Lancaster	93536	97	235	34.9	1	121	48.8	109
Lawndale	90260	13	370	5.7	4	283	15.3	335
Littlerock	93543	11	154	29.4	n/a	n/a	n/a	107
Llano	93544	1	167	36.5	n/a	n/a	n/a	128
Lomita	90717	4	588	48.7	8	307	37.7	291
LongBeach	90802	n/a	n/a	n/a	49	205	18.8	n/a
LongBeach	90803	17	765	-10.9	20	403	-0.2	468
LongBeach	90804	10	358	16.8	11	183	35.1	391
LongBeach	90805	39	310	25.3	4	156	44.5	279
LongBeach	90806	18	350	40.0	1	333	42.0	276
LongBeach	90807	27	529	17.6	12	190	-7.2	324
LongBeach	90808	56	510	20.0	n/a	n/a	n/a	364
LongBeach	90810	22	320	30.6	1	124	39.3	270
LongBeach	90813	12	210	4.7	8	236	68.8	225
LongBeach	90814	14	623	14.2	10	350	61.3	485
LongBeach	90815	45	549	15.1	7	345	24.3	375
LosAngeles	90021	n/a	n/a	n/a	1	949	192.0	n/a
LosAngeles	90058	1	150	-11.8	n/a	n/a	n/a	147
Lynwood	90262	17	255	9.0	n/a	n/a	n/a	244
Malibu	90265	20	1840	5.0	11	671	17.9	779
ManhattanB	90266	36	1913	17.1	10	1432	12.3	756
MarinadelR	90292	3	1250	-8.8	32	669	7.0	524
Maywood	90270	6	255	28.8	n/a	n/a	n/a	248
MissionHills	91345	8	314	14.0	1	205	-8.9	239
Monrovia	91016	28	594	44.8	10	457	35.9	426
Montebello	90640	19	355	6.8	4	275	83.3	280
MontereyPk	91754	16	510	8.5	5	360	28.6	375
MontereyPk	91755	11	483	20.0	9	428	28.0	338
Montrose	91020	4	543	55.0	3	425	38.2	417
Newhall	91321	15	405	8.0	34	218	74.0	245
NorthHills	91343	32	447	28.7	16	228	-10.8	259
NHollywd	91601	11	448	9.1	17	380	47.6	374
NHollywd	91602	15	880	14.7	16	370	8.8	489
NHollywd	91605	14	398	32.1	4	255	50.0	253
NHollywd	91606	21	435	47.5	1	315	242.4	322
Northridge	91324	16	499	27.2	3	325	23.8	268
Northridge	91325	22	580	49.7	10	356	65.3	270
Northridge	91326	27	618	26.9	20	478	6.1	289
Norwalk	90650	81	335	24.1	9	230	15.0	282
PPalisades	90272	37	2341	34.3	12	785	42.5	873
Pacoima	91331	41	310	25.5	16	168	12.8	232
Palmdale	93550	73	150	33.9	5	95	26.7	106
Palmdale	93551	95	250	18.8	4	169	18.2	120
Palmdale	93552	56	182	34.8	n/a	n/a	n/a	102
Palmdale	93591	11	93	34.8	n/a	n/a	n/a	68
PalosVPen	90274	25	1685	12.3	8	635	35.5	598
PanoramaC	91402	23	316	15.8	4	156	30.0	256
Paramount	90723	12	290	24.5	17	163	57.8	252
Pasadena	91101	1	550	148.9	20	460	8.2	259
Pasadena	91103	21	498	16.4	8	451	-18.8	391
Pasadena	91104	28	686	73.0	1	415	5.1	425
Pasadena	91105	14	1025	23.8	7	757	11.3	609
Pasadena	91106	8	1527	171.7	22	472	16.5	588
Pasadena	91107	38	743	35.1	9	395	24.6	459
Pearblossom	93553	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PicoRivera	90660	33	325	20.4	2	298	54.5	274
PlayadlRey	90293	3	945	32.9	20	441	38.1	574
PlayaVista	90094	n/a	n/a	n/a	29	693	38.5	n/a
Pomona	91766	33	311	54.7	16	236	29.3	238
Pomona	91767	29	295	37.2	5	305	97.7	196
Pomona	91768	16	265	32.5	3	225	-27.4	223
RanchoPV	90275	44	1145	8.0	18	574	15.9	480
RedondoBh	90277	20	940	-13.4	30	785	35.3	582
RedondoBh	90278	21	745	7.2	34	717	21.4	445
Reseda	91335	43	416	44.3	11	275	47.8	286
Rosemead	91770	23	410	9.8	4	342	22.0	329
RowlandHts	91748	40	528	12.8	3	650	48.6	308
SanDimas	91773	16	437	15.2	13	300	2.7	285
SnFernando	91340	13	325	19.3	2	244	154.2	277
SanGabriel	91775	20	700	12.9	1	n/a	n/a	416
SanGabriel	91776	13	575	12.7	6	397	9.7	403
SanMarino	91108	12	1507	-5.5	n/a	n/a	n/a	741
SanPedro	90731	27	407	15.0	9	295	40.2	354
SanPedro	90732	13	650	8.5	14	425	88.9	396
SntaClarita	91350	28	435	25.7	22	287	31.1	239
SntaClarita	91390	19	445	-0.9	4	311	35.2	223
SantaFeSpr	90670	9	365	31.5	2	316	11.9	255
SntaMonica	90401	n/a	n/a	n/a	1	632	60.0	n/a
SntaMonica	90402	11	3495	26.5	1	836	-27.3	994
SntaMonica	90403	4	2288	90.7	20	875	5.3	1128
SntaMonica	90404	1	1244	2.8	14	775	79.0	922
SntaMonica	90405	9	1612	48.9	12	630	-5.4	824
ShermnOks	91403	22	898	24.3	17	399	33.3	531
ShermnOks	91423	29	916	26.0	18	350	23.7	549
SierraMdre	91024	6	702	5.6	1	499	n/a	476
SignalHill	90755	5	425	-23.9	13	438	98.9	275
SouthGate	90280	34	303	26.0	4	262	16.2	249
SPasadena	91030	14	750	-6.9	3	380	-30.8	589
StevensonR	91381	17	745	24.2	18	348	-1.4	264
StudioCity	91604	45	1151	26.5	7	535	48.6	527
SunValley	91352	26	366	19.1	1	205	-23.4	275
Sunland	91040	25	439	14.1	2	268	17.6	295
Sylmar	91342	45	350	22.2	27	275	83.3	256
Tarzana	91356	24	892	8.9	15	291	88.5	372
TempleCity	91780	25	649	17.9	7	569	55.8	416
Topanga	90290	12	880	-5.9	1	254	n/a	568
Torrance	90501	20	475	35.1	5	459	9.4	354
Torrance	90502	14	405	11.7	2	223	25.4	290
Torrance	90503	22	700	16.5	14	534	30.1	457
Torrance	90504	23	520	25.3	5	418	22.8	353
Torrance	90505	25	706	10.9	4	321	-15.5	500
Tujunga	91042	33	455	33.6	4	311	39.0	317
Valencia	91354	16	473	9.2	33	396	7.0	237
Valencia	91355	13	480	20.0	33	312	35.7	257
