Catalog Search Results
<PRE>
#YYY/MM/DD HH:mm:SS.ss ET MAG  M    LAT     LON     DEPTH Q  EVID      NPH NGRM
1961/01/28 08:12:46.26 le 5.05 l    35.758 -118.041   6.0 C  3347759   24    0
1961/09/01 16:51:49.00 le 4.07 l    35.212 -118.504   6.0 C  3344790   21    0
1961/11/15 05:38:55.62 le 4.97 l    34.946 -118.987   5.5 B  3344602   20    0
1962/02/01 06:37:51.49 le 4.43 l    35.027 -120.955   6.0 C  3344466   27    0
1962/03/05 07:43:57.87 le 4.50 h    34.556 -121.437   6.0 C 12277847   16    0
1962/03/10 08:07:17.66 le 4.20 h    34.474 -121.815   6.0 D 12277851   17    0
1962/03/10 13:40:46.73 le 4.00 h    34.493 -121.378   6.0 D 12277859   16    0
1962/09/16 05:36:16.14 le 4.95 l    35.759 -118.051   6.0 C  3331691   23    0
1963/01/09 06:04:03.39 le 4.08 l    34.939 -119.136   5.8 B  3331464   23    0
1963/03/01 00:25:57.93 le 4.64 l    34.956 -118.971   8.4 C  3331412   23    0
1963/09/16 05:36:16.00 le 4.90 h    35.750 -118.050   6.0 Z 10086718    0    0
1964/01/02 19:48:41.38 le 4.22 l    35.442 -118.349   6.0 C  3331038   26    0
1964/02/07 22:07:49.96 le 4.46 l    35.466 -118.641   0.9 C  3331017   22    0
1964/02/07 22:10:52.12 le 4.29 l    35.481 -118.687   0.0 C  3331019   23    0
1964/03/09 02:06:29.98 le 4.01 l    37.657 -118.391   6.0 D  3330978   22    0
1964/06/06 11:47:35.61 le 4.08 l    34.500 -121.584   6.0 C  3330911   17    0
1965/07/16 07:46:22.35 le 4.09 l    34.519 -118.484   6.0 C  3330501   24    0
1965/09/19 15:42:10.72 le 4.37 l    35.939 -119.964   6.0 C  3330454   26    0
1967/11/21 05:30:23.09 le 4.17 l    37.464 -118.281   6.0 C  3329435   37    0
1968/06/29 19:12:21.46 le 4.29 l    34.232 -119.738  16.3 C  3328761   25    0
1968/06/29 19:13:56.32 le 4.42 l    34.277 -119.630   5.9 D  3328762    7    0
1968/07/05 00:45:16.74 le 5.05 l    34.139 -119.723   0.2 B  3328690   24    0
1968/07/07 14:33:31.23 le 4.56 l    34.207 -119.802  21.0 C  3328708   23    0
1969/02/28 04:56:12.66 le 4.35 l    34.553 -118.121   6.0 C  3327845   24    0
1969/10/22 22:51:27.00 le 5.24 l    34.520 -121.762   6.0 D  3326086   19    0
1969/10/23 00:02:55.05 le 4.06 l    34.704 -121.463   6.0 C  3326088   19    0
1969/10/24 13:12:07.36 le 4.02 l    34.618 -121.492   6.0 D  3326125   23    0
1969/11/04 00:40:41.49 le 4.38 l    34.493 -121.581   6.0 D  3325883   21    0
1969/11/05 17:54:09.41 le 5.40 l    34.595 -121.341   6.0 D  3325886   18    0
1969/11/05 18:48:41.17 le 4.55 l    34.413 -121.572   6.0 D  3325890   22    0
1969/11/09 01:27:38.27 le 4.16 l    34.181 -121.708   6.0 D  3325946   26    0
1969/11/10 19:21:25.42 le 4.08 l    34.615 -121.510   6.0 C  3325955   26    0
1971/02/09 14:00:41.92 le 6.60 w    34.416 -118.370   8.9 C  3347678   23    0
1971/02/09 14:01:12.45 le 5.80 h    34.416 -118.370   6.0 C  3360255    2    0
1971/02/09 14:01:36.84 le 4.20 h    34.416 -118.370   6.0 C  3360254    2    0
1971/02/09 14:01:40.08 le 4.10 h    34.416 -118.370   6.0 C  3360253    1    0
1971/02/09 14:01:53.04 le 4.50 h    34.416 -118.370   6.0 C  3360252    1    0
1971/02/09 14:01:54.44 le 4.20 h    34.416 -118.370   6.0 C  3360251    1    0
1971/02/09 14:01:59.08 le 4.10 h    34.416 -118.370   6.0 C  3360250    1    0
1971/02/09 14:02:03.00 le 4.10 h    34.411 -118.401   6.0 Z 12315507    0    0
1971/02/09 14:02:29.94 le 4.70 h    34.416 -118.370   6.0 C  3360246    1    0
1971/02/09 14:02:30.00 le 4.30 h    34.411 -118.401   6.0 Z 12315511    0    0
1971/02/09 14:02:31.00 le 4.70 h    34.411 -118.401   6.0 Z 12315515    0    0
1971/02/09 14:02:45.74 le 5.80 h    34.416 -118.370   6.0 C  3360245    3    0
1971/02/09 14:03:25.08 le 4.40 h    34.416 -118.370   6.0 C  3360238    1    0
1971/02/09 14:03:43.34 le 4.10 h    34.416 -118.370   6.0 C  3360236    1    0
1971/02/09 14:04:07.44 le 4.10 h    34.416 -118.370   6.0 C  3360235    1    0
1971/02/09 14:04:35.98 le 4.20 h    34.416 -118.370   6.0 C  3360232    3    0
1971/02/09 14:04:37.64 le 4.10 h    34.416 -118.370   6.0 C  3360230    1    0
1971/02/09 14:04:42.34 le 4.20 h    34.416 -118.370   6.0 C  3360226    1    0
1971/02/09 14:04:44.08 le 4.10 h    34.416 -118.370   6.0 C  3360227    1    0
1971/02/09 14:04:46.00 le 4.20 h    34.411 -118.401   6.0 Z 12315527    0    0
1971/02/09 14:05:41.34 le 4.10 h    34.416 -118.370   6.0 C  3360221    2    0
1971/02/09 14:05:52.15 le 4.10 h    34.416 -118.370   6.0 C  3360220    2    0
1971/02/09 14:07:10.44 le 4.00 h    34.416 -118.370   6.0 C  3360212    1    0
1971/02/09 14:07:43.97 le 4.50 h    34.416 -118.370   6.0 C  3360209    2    0
1971/02/09 14:07:59.24 le 4.00 h    34.416 -118.370   6.0 C  3360207    3    0
1971/02/09 14:08:03.41 le 4.20 h    34.416 -118.370   6.0 C  3360206    3    0
1971/02/09 14:08:34.04 le 4.50 h    34.416 -118.370   6.0 C  3360204    1    0
1971/02/09 14:08:53.72 le 4.60 h    34.416 -118.370   6.0 C  3360203    4    0
1971/02/09 14:10:21.33 le 4.64 l    34.246 -118.396  14.6 B  3342443    7    0
1971/02/09 14:10:29.04 le 5.30 h    34.416 -118.370   6.0 C  3360199    1    0
1971/02/09 14:11:31.38 le 4.00 h    34.274 -118.321   6.0 C  3360257    5    0
1971/02/09 14:22:17.04 le 4.15 l    34.353 -118.316   7.6 C  3342486   11    0
1971/02/09 14:34:39.35 le 4.83 l    34.310 -118.414   2.8 B  3342514   13    0
1971/02/09 14:40:17.11 le 4.08 l    34.400 -118.455   6.1 C  3342533   13    0
1971/02/09 14:43:47.72 le 4.38 l    34.314 -118.428  19.0 C  3347629   20    0
1971/02/09 15:58:20.88 le 4.59 l    34.350 -118.339  13.9 B  3347652   24    0
1971/02/09 16:19:27.72 le 4.08 l    34.322 -118.460  10.4 B  3347654   29    0
1971/02/10 05:06:35.96 le 4.29 l    34.376 -118.311  10.9 B  3347693   27    0
1971/02/10 05:18:07.06 le 4.40 l    34.403 -118.421   9.8 B  3347694   29    0
1971/02/10 11:31:33.93 le 4.22 l    34.406 -118.394   0.3 C  3347703   26    0
1971/02/10 13:49:53.64 le 4.25 l    34.347 -118.440  12.6 B  3347709   27    0
1971/02/10 14:35:26.18 le 4.15 l    34.347 -118.476   1.8 C  3347710   25    0
1971/02/10 17:38:54.97 le 4.04 l    34.374 -118.362  12.2 B  3347716   26    0
1971/02/10 18:54:41.24 le 4.05 l    34.426 -118.436   0.0 B  3347717   26    0
1971/02/21 05:50:52.30 le 4.43 l    34.383 -118.434   7.9 B  3323345   21    0
1971/02/21 07:15:11.48 le 4.25 l    34.346 -118.447  14.2 B  3323346   21    0
1971/03/03 12:05:15.69 le 4.09 l    35.660 -118.355   0.9 A  3323213   24    0
1971/03/07 01:33:40.01 le 4.20 l    34.346 -118.430   2.4 C  3323221   22    0
1971/03/08 23:08:07.64 le 4.20 l    35.661 -118.371   3.3 A  3323232   27    0
1971/03/25 22:54:09.55 le 4.16 l    34.301 -118.493  13.0 B  3323276   22    0
1971/03/31 14:52:22.42 le 4.30 l    34.285 -118.464   2.2 B  3322956   22    0
1971/04/01 15:03:03.67 le 4.09 l    34.403 -118.418  11.7 B  3322983   30    0
1971/04/15 11:14:32.19 le 4.15 l    34.256 -118.511   3.2 C  3323057   19    0
1972/07/27 00:31:17.21 le 4.31 l    34.790 -118.892   3.7 C  3321101   31    0
1973/09/15 01:03:16.31 le 4.22 l    36.605 -119.308   6.0 D  3319337   33    0
1974/01/24 05:02:01.00 le 4.05 l    35.033 -119.079   6.0 C  3318571   58    0
1974/03/09 00:54:31.63 le 4.37 l    34.386 -118.385   8.6 B  3320111   45    0
1975/04/17 09:18:33.45 le 4.06 l    35.773 -118.606   3.1 A  3076282   91    0
1975/05/13 00:21:35.60 le 4.56 l    35.007 -119.097  24.1 B  3022027  104    0
1975/06/05 14:46:45.06 le 4.09 l    35.052 -119.000   1.0 C  3022245   80    0
1976/04/08 15:21:37.99 le 4.47 l    34.358 -118.673  15.1 A  3002657  121    0
1977/08/12 02:19:26.14 le 4.37 l    34.371 -118.458  10.8 A  3334224   81  120
1977/09/24 21:28:24.35 le 4.02 l    34.459 -118.418  13.3 A  3334905   87  109
1978/06/16 04:21:31.95 le 4.16 l    35.041 -119.129  11.0 A  3340018   72  150
1978/08/13 22:54:52.91 le 5.08 l    34.314 -119.706  18.0 C 10012262  102    0
1980/05/29 03:38:45.02 le 4.65 l    34.981 -120.930   6.0 C  3308540   79  164
1980/06/28 00:58:45.25 le 4.12 l    37.559 -119.041   6.0 C 12345783    8  164
1980/09/26 13:18:41.46 le 4.29 l    35.255 -119.377   9.9 A  3302524   40  164
1981/06/22 04:57:47.16 le 4.02 l    35.098 -118.504   1.3 A   518117   98  152
1981/11/10 22:34:35.73 le 4.71 l    35.011 -119.133   8.0 A   526822  135  151
1981/11/10 22:37:04.69 le 4.19 c    35.013 -119.178   1.7 A   526823   62  149
1982/04/13 11:02:12.36 le 4.01 l    34.063 -118.970  12.1 A   528652   96  155
1983/10/21 22:44:13.53 le 4.52 l    35.920 -118.333   1.5 A    19003   63  172
1984/05/07 19:32:32.76 le 4.26 l    34.661 -119.973   9.9 C    39006   60  195
1984/06/12 00:27:52.38 le 4.04 l    34.541 -118.989  11.7 C    41122  112  205
1984/06/20 19:28:06.27 le 4.05 l    34.918 -120.800   6.0 C    41883   27  185
1984/10/25 10:36:02.37 le 4.53 l    34.737 -120.147   6.0 C    52453   21  197
1984/10/26 17:20:43.54 le 4.56 l    34.016 -118.988  13.3 A    53124   77  203
1985/02/08 06:58:16.86 le 4.61 l    35.457 -118.906   6.0 C    58486   88  212
1985/04/03 04:04:50.07 le 4.07 l    34.380 -119.038  24.9 A    61973  117  206
1985/05/06 23:14:33.02 le 4.41 l    35.297 -119.346  24.4 A    64604  131  205
1986/03/10 15:33:16.27 le 4.14 l    34.402 -119.802  18.0 C   118360  103  207
1987/10/01 14:42:20.02 le 5.90 w    34.061 -118.079   9.5 A   731691  178  254
1987/10/01 14:45:41.45 le 4.70 l    34.049 -118.100  13.6 A   624578   33  127
1987/10/01 14:48:03.11 le 4.11 l    34.076 -118.090  11.7 A   731693   55  161
1987/10/01 14:49:05.92 le 4.75 l    34.060 -118.100  11.7 A   624580   47  125
1987/10/01 15:12:31.76 le 4.62 l    34.052 -118.091  10.8 A   134294  164  251
1987/10/01 15:59:53.55 le 4.02 l    34.050 -118.087  10.4 A   731717  128  227
1987/10/04 10:59:38.19 le 5.25 l    34.074 -118.098   8.3 A   732031  189  256
1987/12/15 18:23:46.10 le 4.02 l    35.372 -118.774   3.2 A   630677  112  227
1988/02/11 15:25:55.65 le 4.69 l    34.077 -118.047  12.5 A   743060  135  260
1988/02/22 07:43:13.88 le 4.20 l    35.546 -119.676   6.0 C   743909   83  246
1988/03/23 08:42:46.96 le 4.01 l    34.250 -119.622  17.6 A   136023  113  260
1988/06/10 23:06:43.05 le 5.37 l    34.943 -118.743   6.8 A   640798  120  262
1988/07/05 18:18:47.88 le 4.40 l    36.426 -118.025   6.0 C   642493  101  262
1988/12/03 11:38:26.45 le 5.02 l    34.151 -118.130  14.3 A   650799  187  271
1989/01/09 23:01:18.07 le 4.05 l    34.513 -120.702   6.0 C  1017510   38  255
1989/02/14 15:43:54.65 le 4.10 l    35.043 -119.156  13.8 A  1020974   65  247
1989/03/29 09:29:49.53 le 4.31 l    34.914 -118.992  14.3 A  1025141  117  265
1989/06/12 16:57:18.49 le 4.82 l    34.028 -118.180  15.6 A  1032113  142  272
